#    distance            Ux
  1.54198e-18  -1.13274e-18
     0.015873    -0.0115751
     0.031746    -0.0224084
     0.047619    -0.0326259
    0.0634921    -0.0423333
    0.0793651    -0.0516232
    0.0952381    -0.0605774
     0.111111    -0.0692676
     0.126984    -0.0777398
     0.142857    -0.0860724
      0.15873    -0.0943072
     0.174603     -0.102477
     0.190476     -0.110606
     0.206349     -0.118708
     0.222222     -0.126788
     0.238095     -0.134835
     0.253968     -0.142831
     0.269841     -0.150746
     0.285714     -0.158538
     0.301587     -0.166152
      0.31746     -0.173522
     0.333333     -0.180574
     0.349206     -0.187163
     0.365079     -0.193229
     0.380952     -0.198667
     0.396825     -0.203365
     0.412698     -0.207209
     0.428571     -0.210085
     0.444444     -0.211881
     0.460317     -0.212348
      0.47619     -0.211512
     0.492063     -0.209292
     0.507937      -0.20562
      0.52381     -0.200446
     0.539683     -0.193738
     0.555556     -0.185486
     0.571429      -0.17553
     0.587302     -0.164074
     0.603175     -0.151167
     0.619048     -0.136872
     0.634921     -0.121259
     0.650794     -0.104404
     0.666667    -0.0863789
      0.68254    -0.0671286
     0.698413    -0.0468181
     0.714286    -0.0254515
     0.730159   -0.00298732
     0.746032     0.0206757
     0.761905     0.0457149
     0.777778     0.0724024
     0.793651      0.101406
     0.809524      0.133091
     0.825397      0.168161
      0.84127      0.207466
     0.857143      0.251992
     0.873016      0.302818
     0.888889      0.361039
     0.904762       0.42867
     0.920635      0.505495
     0.936508      0.591604
     0.952381      0.686322
     0.968254      0.787992
     0.984127      0.893843
            1             1
