#    distance            Ux
  1.54198e-18  -1.13584e-18
     0.015873    -0.0116069
     0.031746    -0.0224719
     0.047619    -0.0327205
    0.0634921    -0.0424585
    0.0793651    -0.0517782
    0.0952381    -0.0607613
     0.111111    -0.0694795
     0.126984    -0.0779782
     0.142857    -0.0863358
      0.15873    -0.0945942
     0.174603     -0.102786
     0.190476     -0.110935
     0.206349     -0.119055
     0.222222     -0.127151
     0.238095      -0.13521
     0.253968     -0.143217
     0.269841     -0.151139
     0.285714     -0.158934
     0.301587     -0.166548
      0.31746     -0.173916
     0.333333      -0.18096
     0.349206     -0.187538
     0.365079     -0.193588
     0.380952     -0.199006
     0.396825     -0.203679
     0.412698     -0.207495
     0.428571     -0.210338
     0.444444     -0.212098
     0.460317     -0.212524
      0.47619     -0.211646
     0.492063     -0.209381
     0.507937     -0.205663
      0.52381     -0.200442
     0.539683     -0.193687
     0.555556     -0.185389
     0.571429     -0.175388
     0.587302     -0.163889
     0.603175     -0.150943
     0.619048     -0.136611
     0.634921     -0.120965
     0.650794      -0.10408
     0.666667      -0.08603
      0.68254    -0.0667587
     0.698413    -0.0464313
     0.714286    -0.0250516
     0.730159   -0.00257819
     0.746032     0.0210903
     0.761905     0.0461315
     0.777778     0.0728174
     0.793651      0.101816
     0.809524      0.133492
     0.825397      0.168549
      0.84127      0.207838
     0.857143      0.252344
     0.873016      0.303146
     0.888889       0.36134
     0.904762       0.42894
     0.920635       0.50573
     0.936508        0.5918
     0.952381      0.686475
     0.968254      0.788097
     0.984127      0.893897
            1             1
