#    distance            Uy
            0   2.76197e-18
     0.015873     0.0280979
     0.031746     0.0532162
     0.047619     0.0754766
    0.0634921     0.0950248
    0.0793651      0.112025
    0.0952381      0.126653
     0.111111       0.13909
     0.126984      0.149312
     0.142857      0.157731
      0.15873      0.164511
     0.174603      0.169799
     0.190476      0.173732
     0.206349      0.176429
     0.222222      0.177991
     0.238095      0.178395
     0.253968      0.177833
     0.269841      0.176354
     0.285714      0.173998
     0.301587       0.17079
      0.31746      0.166747
     0.333333      0.161876
     0.349206      0.156086
     0.365079      0.149462
     0.380952      0.141992
     0.396825      0.133666
     0.412698      0.124467
     0.428571      0.114383
     0.444444      0.103402
     0.460317     0.0914103
      0.47619     0.0785046
     0.492063     0.0646856
     0.507937     0.0499617
      0.52381     0.0343502
     0.539683     0.0178794
     0.555556   0.000590851
     0.571429    -0.0175349
     0.587302    -0.0363274
     0.603175    -0.0556845
     0.619048    -0.0754789
     0.634921     -0.095555
     0.650794     -0.115726
     0.666667     -0.135771
      0.68254     -0.155358
     0.698413     -0.174199
     0.714286     -0.191951
     0.730159     -0.208239
     0.746032     -0.222655
     0.761905     -0.234775
     0.777778     -0.244167
     0.793651     -0.250016
     0.809524     -0.252258
     0.825397     -0.250579
      0.84127      -0.24475
     0.857143     -0.234659
     0.873016     -0.220319
     0.888889     -0.201892
     0.904762     -0.179317
     0.920635     -0.153532
     0.936508     -0.125142
     0.952381    -0.0948393
     0.968254    -0.0633701
     0.984127    -0.0314996
            1             0
