#    distance            Uy
            0   2.76255e-18
     0.015873     0.0281038
     0.031746     0.0532274
     0.047619     0.0754923
    0.0634921     0.0950445
    0.0793651      0.112048
    0.0952381      0.126679
     0.111111      0.139118
     0.126984      0.149342
     0.142857      0.157763
      0.15873      0.164543
     0.174603      0.169832
     0.190476      0.173765
     0.206349      0.176461
     0.222222      0.178023
     0.238095      0.178426
     0.253968      0.177863
     0.269841      0.176383
     0.285714      0.174025
     0.301587      0.170815
      0.31746       0.16677
     0.333333      0.161898
     0.349206      0.156106
     0.365079      0.149479
     0.380952      0.142007
     0.396825      0.133678
     0.412698      0.124477
     0.428571      0.114391
     0.444444      0.103406
     0.460317     0.0914126
      0.47619     0.0785044
     0.492063      0.064683
     0.507937     0.0499567
      0.52381     0.0343428
     0.539683     0.0178699
     0.555556   0.000579234
     0.571429    -0.0175485
     0.587302    -0.0363429
     0.603175    -0.0557019
     0.619048    -0.0754979
     0.634921    -0.0955756
     0.650794     -0.115748
     0.666667     -0.135795
      0.68254     -0.155382
     0.698413     -0.174225
     0.714286     -0.191978
     0.730159     -0.208267
     0.746032     -0.222684
     0.761905     -0.234805
     0.777778     -0.244197
     0.793651     -0.250046
     0.809524     -0.252288
     0.825397     -0.250608
      0.84127     -0.244779
     0.857143     -0.234685
     0.873016     -0.220344
     0.888889     -0.201915
     0.904762     -0.179338
     0.920635      -0.15355
     0.936508     -0.125156
     0.952381      -0.09485
     0.968254    -0.0633773
     0.984127    -0.0315032
            1             0
