#    distance            Uy
  2.77556e-19             0
    0.0010101      0.015306
    0.0020202      0.030612
    0.0030303     0.0459179
    0.0040404     0.0612239
   0.00505051      0.076314
   0.00606061     0.0873028
   0.00707071     0.0982916
   0.00808081       0.10928
   0.00909091      0.120269
     0.010101      0.130811
    0.0111111      0.137332
    0.0121212      0.143853
    0.0131313      0.150373
    0.0141414      0.156894
    0.0151515      0.162806
    0.0161616       0.16527
    0.0171717      0.167734
    0.0181818      0.170198
    0.0191919      0.172662
     0.020202      0.174449
    0.0212121      0.173527
    0.0222222      0.172605
    0.0232323      0.171683
    0.0242424      0.170761
    0.0252525      0.169171
    0.0262626      0.165578
    0.0272727      0.161984
    0.0282828      0.158391
    0.0292929      0.154797
     0.030303      0.150599
    0.0313131      0.144989
    0.0323232      0.139379
    0.0333333       0.13377
    0.0343434       0.12816
    0.0353535       0.12204
    0.0363636      0.114973
    0.0373737      0.107905
    0.0383838      0.100837
    0.0393939     0.0937698
     0.040404     0.0863047
    0.0414141     0.0782436
    0.0424242     0.0701824
    0.0434343     0.0621212
    0.0444444       0.05406
    0.0454545     0.0457318
    0.0464646     0.0370773
    0.0474747     0.0284228
    0.0484848     0.0197682
    0.0494949     0.0111137
    0.0505051    0.00235279
    0.0515152   -0.00651452
    0.0525253    -0.0153818
    0.0535354    -0.0242491
    0.0545455    -0.0331165
    0.0555556    -0.0418739
    0.0565657    -0.0505414
    0.0575758     -0.059209
    0.0585859    -0.0678765
     0.059596     -0.076544
    0.0606061    -0.0847939
    0.0616162    -0.0927654
    0.0626263     -0.100737
    0.0636364     -0.108708
    0.0646465      -0.11668
    0.0656566     -0.123794
    0.0666667     -0.130447
    0.0676768     -0.137099
    0.0686869     -0.143752
     0.069697     -0.150405
    0.0707071     -0.155597
    0.0717172     -0.160163
    0.0727273      -0.16473
    0.0737374     -0.169296
    0.0747475     -0.173862
    0.0757576     -0.176199
    0.0767677     -0.177793
    0.0777778     -0.179388
    0.0787879     -0.180982
     0.079798     -0.182576
    0.0808081     -0.181069
    0.0818182     -0.178786
    0.0828283     -0.176503
    0.0838384     -0.174219
    0.0848485     -0.171936
    0.0858586     -0.165734
    0.0868687      -0.15884
    0.0878788     -0.151945
    0.0888889     -0.145051
     0.089899     -0.138157
    0.0909091     -0.126892
    0.0919192     -0.115142
    0.0929293     -0.103391
    0.0939394    -0.0916409
    0.0949495    -0.0798905
    0.0959596    -0.0640832
    0.0969697    -0.0480624
    0.0979798    -0.0320416
    0.0989899    -0.0160208
          0.1             0
