#    distance            Ux
  1.38778e-17             0
     0.015873   -0.00658537
     0.031746    -0.0131707
     0.047619    -0.0197561
    0.0634921     -0.024986
    0.0793651    -0.0299768
    0.0952381    -0.0349675
     0.111111    -0.0393004
     0.126984    -0.0433513
     0.142857    -0.0474023
      0.15873    -0.0512155
     0.174603    -0.0548342
     0.190476     -0.058453
     0.206349     -0.062062
     0.222222    -0.0656564
     0.238095    -0.0692509
     0.253968    -0.0729181
     0.269841    -0.0768035
     0.285714    -0.0806889
     0.301587    -0.0846233
      0.31746    -0.0889983
     0.333333    -0.0933733
     0.349206    -0.0977484
     0.365079     -0.102624
     0.380952     -0.107526
     0.396825     -0.112428
     0.412698     -0.117597
     0.428571     -0.122832
     0.444444     -0.128067
     0.460317     -0.133187
      0.47619     -0.138244
     0.492063     -0.143302
     0.507937     -0.147818
      0.52381     -0.151794
     0.539683     -0.155769
     0.555556     -0.158909
     0.571429     -0.160495
     0.587302     -0.162082
     0.603175     -0.162869
     0.619048     -0.160453
     0.634921     -0.158037
     0.650794     -0.155332
     0.666667     -0.147139
      0.68254     -0.138946
     0.698413     -0.130753
     0.714286     -0.115598
     0.730159    -0.0996695
     0.746032    -0.0837411
     0.761905    -0.0599683
     0.777778    -0.0335807
     0.793651   -0.00719313
     0.809524     0.0282667
     0.825397     0.0697747
      0.84127      0.111283
     0.857143      0.162851
     0.873016      0.226715
     0.888889       0.29058
     0.904762      0.363216
     0.920635      0.456322
     0.936508      0.549428
     0.952381      0.646255
     0.968254       0.76417
     0.984127      0.882085
            1             1
