#    distance            Uy
  5.42101e-18   1.02012e-17
     0.015873     0.0145848
     0.031746     0.0291697
     0.047619     0.0437545
    0.0634921     0.0539775
    0.0793651     0.0634307
    0.0952381      0.072884
     0.111111     0.0793213
     0.126984     0.0844661
     0.142857     0.0896109
      0.15873     0.0929839
     0.174603     0.0949073
     0.190476     0.0968306
     0.206349     0.0978573
     0.222222      0.097539
     0.238095     0.0972207
     0.253968      0.096518
     0.269841     0.0946619
     0.285714     0.0928058
     0.301587     0.0908365
      0.31746     0.0878478
     0.333333     0.0848591
     0.349206     0.0818704
     0.365079     0.0779449
     0.380952     0.0739701
     0.396825     0.0699953
     0.412698     0.0651929
     0.428571     0.0601836
     0.444444     0.0551742
     0.460317     0.0493829
      0.47619     0.0431704
     0.492063     0.0369579
     0.507937     0.0300451
      0.52381      0.022432
     0.539683      0.014819
     0.555556     0.0066817
     0.571429   -0.00242903
     0.587302    -0.0115398
     0.603175    -0.0209123
     0.619048    -0.0313322
     0.634921     -0.041752
     0.650794    -0.0522017
     0.666667    -0.0632175
      0.68254    -0.0742333
     0.698413    -0.0852491
     0.714286    -0.0954696
     0.730159     -0.105602
     0.746032     -0.115734
     0.761905     -0.123445
     0.777778      -0.13035
     0.793651     -0.137255
     0.809524     -0.140484
     0.825397     -0.141264
      0.84127     -0.142043
     0.857143     -0.138986
     0.873016     -0.131241
     0.888889     -0.123496
     0.904762     -0.113186
     0.920635    -0.0968919
     0.936508    -0.0805977
     0.952381    -0.0635692
     0.968254    -0.0423795
     0.984127    -0.0211897
            1             0
